# geant2
# rates

N,DIAMOND,DQN+GNN,RandomBL,OSPF,DIAR,IACR
5,155.6,152.62,145.14,152.52,155.6,155.24
10,149.71,136.88,116.24,137.52,146.61,138.34
20,142.845,116.15,79.615,107.81,127.34,112.97
30,130.143,96.46,59.507,75.253,107.497,82.347
40,111.895,81.272,40.16,51.72,88.94,51.328
50,96.492,72.232,26.274,36.408,74.982,38.878
60,83.558,60.698,18.437,27.193,60.487,30.802
70,72.677,53.178,13.446,21.088,54.73,24.171
80,65.096,47.426,12.869,16.907,48.062,19.424
90,59.04,41.286,8.987,14.288,41.18,16.25
