# random
# delay

N,DIAMOND,DQN+GNN,RandomBL,OSPF,DIAR,IACR
5,6.3,8.7,7,7.7,5.1,5.5
10,9,23.4,10.4,17.9,8.5,7.8
20,13,43.5,18.9,34.3,17.2,19.7
30,22.6,97.3,42.5,81.9,34.8,47
40,34.3,128.4,79.5,138.6,52.6,81.4
50,44.8,205.7,115,175,81.2,91.7
60,62.8,203.6,164.8,239,127.8,120.7
70,99.1,264.3,229.8,264,175,155.7
80,113.5,331.3,281.6,273.5,179.9,144.5
90,180.4,382.5,355.5,330.3,217.7,196.2
100,201.2,365,406.6,353.8,264.9,256.5
120,316.7,490.3,502.8,431.6,347.9,315.1
150,424.9,576,640.1,592.4,467,431.7
200,616.8,939.2,820.6,742.5,647.9,581.1
