# random
# rates

N,DIAMOND,DQN+GNN,RandomBL,OSPF,DIAR,IACR
5,152.86,128.02,144.88,131.72,145.38,144.3
10,140.26,90.11,94.98,80.58,119.69,90.57
20,98.46,54.58,40.21,33.65,67.605,42.33
30,64.633,35.777,14.77,17.823,39.53,23.967
40,45.417,24.692,5.908,9.715,25.01,13.578
50,34.352,16.93,4.942,6.03,17.172,8.538
60,26.168,13.003,2.155,4.208,12.752,6.437
70,21.55,11.223,1.283,2.794,10.459,4.161
80,18.189,8.927,0.775,1.991,8.294,2.68
90,15.58,7.11,0.438,1.313,6.648,1.996
100,13.26,5.921,0.255,0.919,5.261,1.332
120,10.029,4.891,0.16,0.503,3.758,0.739
150,7.299,3.046,0.045,0.186,2.331,0.303
200,4.711,1.902,0.034,0.097,1.308,0.159
